Title,Artist,Lyrics
Holland,257ers,"""Holland!""

In der City, wo man mich mittlerweile kennt
Lekker Bitterballen mit Senf, dazu 'ne Fritte mit Getränk
'N bisschen kiffen – selbstverständlich, alle schieben Optik
Keiner ist auf Aggro, alle schieben Optik
Holland ist der Boss, ich finde Windmühlen cool
Jedes Mal am Strand muss ich erst Schwimmflügel suchen
Aufm Zeltplatz später für 'nen Fünfer geduscht
Zwei bis drei Stündchen sind gründlich genug
Keine Düne ein Problem mit vernünftigen Schuhen
Alles klingt hier lustig – Schlümpfe sind Smurfs
Fahrräder Fietsen, Bier nennt man Bier
Jeden Sommer am Strand, Holland-Vakantie
Grillen und angeln, die Frikandel
Im Supermarkt danach dann Pilze sammeln
Im Fachhandel nebenan, denn
Die haben die beste Auswahl des Landes

Lekker Strand und lekker Meisje, lekker Vaka-antie
Lekker Chocomel und Vla, denn wir sind hi-i-igh
Lekker neuken op de Wallen zonder te betalen
Holland ist die geilste Stadt der Welt

Ey, als wir im Sommer in Holland mal mit 'nem Roller auffe Bahn
Voll auf Knolle mit paar Dollars und 'nem Bollerwagen waren
War dat voller da als sonst, weil ich schon ma' Holland fahr'
Sonntags, wenn ich frag' mit meiner Omma unterm Arm
Ich muss aber ma' was sagen für 'n Königreich ist Holland wirklich keine große Stadt
So nah am Wasser, kommt 'ne Welle, sind die meisten erstmal nass
Solange H zu dem Land
Ich kauf' mir eine Dose und bezahl' kein' Pfand
Holland ist voll geil, hier gibt es Fleischkroketten
Die von innen so aussehen wie bereits gegessen
Lecker! Du hast dir 'ne Cola von Mecces auf deine Hose gekleckert
Trink lieber Chocomel, scheppert auch zu dem Dope einfach besser
Joppiesauce find' ich lecker
Allgemein was hier geht
Jeder smilt und ist breit aufm Bike unterwegs
Hier ist einiges okay
Holland – meine Stadt, hier will ich eigentlich mal leben!

Lekker Strand und lekker Meisje, lekker Vaka-antie
Lekker Chocomel und Vla, denn wir sind hi-i-igh
Lekker neuken op de Wallen zonder te betalen
Holland ist die geilste Stadt der Welt
Lekker Strand und lekker Meisje, lekker Vaka-antie
Lekker Chocomel und Vla, denn wir sind hi-i-igh
Lekker neuken op de Wallen zonder te betalen
Holland ist die geilste Stadt der Welt

Joa, wieder mal mit der Crew durch die Niederlande gecruist
Und dass die Niederlande hier sagen hat nix mit Niederlage zu tun
Außer die spielen Ball mit dem Fuß, aber die sind schon in der Kabine high
Also verlieren können die gut – jo! Holland ist die geilste Stadt der Welt

Lekker Strand und lekker Meisje, lekker Vaka-antie
Lekker Chocomel und Vla, denn wir sind hi-i-igh
Lekker neuken op de Wallen zonder te betalen
Holland ist die geilste Stadt der Welt
Lekker Strand und lekker Meisje, lekker Vaka-antie
Lekker Chocomel und Vla, denn wir sind hi-i-igh
Lekker neuken op de Wallen zonder te betalen
Holland ist die geilste Stadt der Welt"
Astronaut,Sido feat. Andreas Bourani,"Ich heb' ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut

[Sido:]
Wir laufen rum mit der Schnauze voll, die Köpfe sind leer
Sitzen im Dreck bis zum Hals, haben Löcher im Herz
Ertränken Sorgen und Probleme in 'nem Becher voll Wein
Mit einem Lächeln aus Stein, uns fällt nichts Besseres ein
Wir hab'n morgen schon vergessen, wer wir gestern noch war'n
Hab'n uns alle vollgefressen und vergessen zu zahl'n
Lassen alles steh'n und liegen für mehr Asche und Staub
Wir woll'n alle, dass es passt, doch wir passen nicht auf
Die Stimme der Vernunft ist längst verstummt, wir hör'n sie nicht mehr
Denn manchmal hab'n wir das Gefühl, wir gehör'n hier nicht her
Es gibt kein Vor und kein Zurück mehr, nur noch Unten und Oben
Einer von Hundert Millionen, ein kleiner Punkt überm Boden, ich heb' ab

[Andreas Bourani:]
Ich heb' ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh' die Welt von oben
Der Rest verblasst im Blau
Ich hab' Zeit und Raum verloren hier oben
Wie ein Astronaut

[Sido:]
Im Dunkeln der Nacht
Hier oben ist alles so friedlich, doch da unten geht's ab
Wir alle tragen dazu bei, doch brechen unter der Last
Wir hoffen auf Gott, doch hab'n das Wunder verpasst
Wir bauen immer höher, bis es ins Unendliche geht
Fast acht Milliarden Menschen, doch die Menschlichkeit fehlt
Von hier oben macht das alles plötzlich gar nichts mehr aus
Von hier sieht man keine Grenzen und die Farbe der Haut
Dieser ganze Lärm um nichts verstummt, ich hör' euch nicht mehr
Langsam hab ich das Gefühl, ich gehöre hierher
Es gibt kein Vor und kein Zurück mehr, nur noch Unten und Oben
Einer von Hundert Millionen, ein kleiner Punkt überm Boden, ich heb' ab

[Andreas Bourani:]
Ich heb' ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh' die Welt von oben
Der Rest verblasst im Blau
Ich hab' Zeit und Raum verloren hier oben
Wie ein Astronaut

Und beim Anblick dieser Schönheit
Fällt mir alles wieder ein
Sind wir nicht eigentlich am Leben
Um zu lieben, um zu sein?
Hier will ich her, für immer bleiben
Doch ich bin ein Wimpernschlag
Der nach Fünf Milliarden Jahren
Nicht viel mehr zu sein vermag

Ich heb' ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh' die Welt von oben
Der Rest verblasst im Blau
Ich hab' Zeit und Raum verloren hier oben
Wie ein Astronaut
Ich heb' ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh' die Welt von oben
Der Rest verblasst im Blau
Ich hab' Zeit und Raum verloren hier oben
Wie ein Astronaut
Ich heb' ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh' die Welt von oben
Der Rest verblasst im Blau
Ich hab' Zeit und Raum verloren hier oben
Wie ein Astronaut"
Wolke 4,Philipp Dittberner & Marv,"Lass uns die Wolke vier bitte nie mehr verlassen
Weil wir auf Wolke sieben viel zu viel verpassen
Ich war da schon ein Mal, bin zu tief gefallen
Lieber Wolke vier mit Dir als unten wieder ganz allein

Ziemlich gut, wie wir das so gemeistert haben
Wie wir die großen Tage unter kleinen Dingen begraben
Der Moment der die Wirklichkeit maskiert
Es tut nur gut zu wissen, dass das wirklich funktioniert

Lass uns die Wolke vier bitte nie mehr verlassen
Weil wir auf Wolke sieben viel zu viel verpassen
Ich war da schon ein Mal, bin zu tief gefallen
Lieber Wolke vier mit Dir als unten wieder ganz allein

Hab nicht gesehen, was da vielleicht noch kommt
Was am Ende dann mein Leben und mein kleines Herz zerbombt
Denn der Moment ist das, was es dann zeigt, dass die Tage ziemlich dunkel sind
Doch Dein Lächeln bleibt. Doch Dein Lächeln bleibt...

Lass uns die Wolke vier bitte nie mehr verlassen
Weil wir auf Wolke sieben viel zu viel verpassen
Ich war da schon ein Mal, bin zu tief gefallen
Lieber Wolke vier mit Dir als unten wieder ganz allein

Lieber Wolke vier mit Dir als unten wieder ganz allein
Lieber Wolke vier mit Dir als unten wieder ganz allein"
Lieblingsmensch,Namika,"Manchmal fühl ich mich hier falsch, wie ein Segelschiff im All
Aber bist du mit mir an Bord, bin ich gerne durchgeknallt
Selbst der Stau auf der A2 ist mit dir blitzschnell vorbei
Und die Plörre von der Tanke
Schmeckt wie Kaffee auf Hawaii, yeah
Auch wenn ich schweig, du weißt bescheid
Ich brauch gar nichts sagen, ein Blick reicht
Und wird uns der Alltag hier zu grau
Pack' ich dich ein, wir sind dann mal raus

Hallo Lieblingsmensch, ein riesen Kompliment
Dafür, dass du mich so gut kennst
Bei dir kann ich ich sein, verträumt und verrückt sein
Na na na na na na
Danke Lieblingsmensch, schön, dass wir uns kennen

Hallo Lieblingsmensch, ein riesen Kompliment
Dafür, dass du mich so gut kennst
Bei dir kann ich ich sein, verträumt und verrückt sein
Na na na na na na
Danke Lieblingsmensch, schön, dass wir uns kennen

Niemand darf's erfahren, aber dir vertrau ich's an
Weil du's sicher aufbewahrst meine Area 51
Manchmal drehen wir uns im Kreis
Aus 'ner Kleinigkeit wird Streit
Aber mehr als 5 Minuten kann ich dir nicht böse sein, yeah
Mach ich dir was vor, fällt's dir sofort auf
Lass ich mich hängen dann baust du mich auf
Manchmal wiegt der Alltag schwer wie Blei
Doch sind wir zu zweit, scheint alles so leicht!

Hallo Lieblingsmensch, ein riesen Kompliment
Dafür, dass du mich so gut kennst
Bei dir kann ich ich sein, verträumt und verrückt sein
Na na na na na na
Danke Lieblingsmensch, schön, dass wir uns kennen

Hallo Lieblingsmensch, ein riesen Kompliment
Dafür, dass du mich so gut kennst
Bei dir kann ich ich sein, verträumt und verrückt sein
Na na na na na na
Danke Lieblingsmensch, schön, dass wir uns kennen

Zeiten ändern sich und wir uns gleich mit
Du und ich so jung auf diesem alten Polaroid-Bild
Das letzte Mal als wir uns sahen, ist viel zu lang her
Doch jetzt lachen wir, als wenn du nie weg gewesen wärst

Hallo Lieblingsmensch, ein riesen Kompliment
Dafür, dass du mich so gut kennst
Bei dir kann ich ich sein, verträumt und verrückt sein
Na na na na na na
Danke Lieblingsmensch, schön, dass wir uns kennen"
Wie schön du bist,Sarah Connor,"Der Applaus ist längst vorbei
Und dein Herz schwer wie Blei
Jeder redet auf dich ein
Trotzdem bist du so allein
Und du siehst so traurig aus
Komm in mein' Arm, lass es raus
Glaub mir ich war wo du bist
Und weiß was es mit dir macht
Doch wenn du lachst
Kann ich es sehn
Ich seh dich

Mit all deinen Farben
Und deinen Narben
Hintern den Mauern
Ja ich seh dich
Lass dir nichts sagen
Nein, lass dir nichts sagen
Weißt du denn gar nicht
Wie schön du bist?

Ich seh' dein' Stolz und deine Wut
Dein großes Herz, dein Löwenmut
Ich liebe deine Art zu geh'n
Und deine Art mich anzusehn
Wie du dein' Kopf zur Seite legst
Immer seh ich wies mir geht
Du weißt wo immer wir auch sind
Dass ich dein zu Hause bin
Und was das mit mir macht
Wenn du jetzt lachst
Seh ich

All deine Farben
Und deine Narben
Hinter den Mauern
Ja ich seh dich
Lass dir nichts sagen
Nein, lass dir nichts sagen
Weißt du denn gar nicht
Wie schön du bist?

Ohhhh, ooohoooo!

Jeder Punkt in deinem Gesicht
Ist so perfekt, rein zufällig
Es gibt nichts schöneres als dich

Und ich hab das alles so gewollt
Den ganzen Terror und das Gold
Ich habe nie was so gewollt

Wie all deine Farben
Und all deine Narben
Weißt du denn gar nicht
Wie schön du bist?
Mit all deinen Farben
Weißt du noch gar nicht
Wie schön du bist!
Wie schön du bist!
Wie schön du bist!"
Unter meiner Haut,Gestört aber GeiL & Koby Funk feat. Wincent Weiss,
Bye Bye,Cro,"Die Straße leuchtet nur für uns, komm ich zeig dir meine Stadt
Und wir fahren durch Strassen voller Menschen, und wir singen die ganze Nacht
Du versprichst mir heute alles
Ich schwör' auf jedes Wort
Unser Himmel färbt sich dunkelrot und du sagst du musst jetzt fort

Nein ich lass dich nicht raus, ich lass dich nicht gehen
Und ich weiß und ich weiß und ich weiß und ich weiß ich tu' mir grad weh
Doch ich trag dich unter meiner Haut
Ich behalt dich unter meiner Haut, ganz egal wie lang es brennt ganz egal was jetzt noch kommt
Vielleicht singen wir irgendwann wieder Panic!-at-the-Disco-Songs

Und ich kann auch nicht nach Haus, denn das brennen hört nicht auf
Ich habe Angst uns zu verpassen, ,ich habe Angst wir lösen uns auf
Und es wird schon wieder hell,wir sehen alle Lichter gehen
Im Trubel noch ein leiser Kuss,du lässt mich stehn'

Nein ich lass dich nicht raus, ich lass dich nicht gehen
Und ich weiß und ich weiß und ich weiß und ich weiß ich tu' mir grad weh
Doch ich trag dich unter meiner Haut
Ich behalt dich unter meiner Haut, ganz egal wie lang es brennt ganz egal was jetzt noch kommt
Vielleicht singen wir irgendwann wieder Panic at the disco Songs

Ich trag mein Herz vor dir her,doch meine Beine laufen weiter meine Füße sind schon taub
Unsre' Stadt schon fast vergessen

Doch bis dahin trag' ich dich unter meiner Haut, ich behalt dich unter meiner Haut
Ganz egal wie lang es brennt ganz egal was jetzt noch kommt
Vielleicht singen wir irgendwann wieder Panic at the disco Songs

Doch ich trag dich (ohohoh) ich behalt dich
Und vielleicht singen wir irgendwann
Und vielleicht singen wir irgendwann
Und vielleicht singen wir irgendwann
Wieder Panic!-at-the-Disco-Songs"
Herz über Kopf,Joris,"Hast mich lang nicht mehr so angeseh'n
Viel zu oft versucht, uns zu versteh'n
Die Augen treffen sich
Der Wein ist schon halb leer
Oh, ich weiß ganz genau, was du grad denkst
Der Zug ist abgefahr'n, die Zeit verschenkt
Fühlt sich so richtig an
Doch ist so falsch

Und immer, wenn es Zeit wär, zu geh'n
Vergess' ich, was mal war und bleibe steh'n
Das Herz sagt: ""Bleib!""
Der Kopf schreit: ""Geh!""

Herz über Kopf
Herz über Kopf

Trägst deine Haare immer noch wie früher
Und du tanzt genau wie früher
Die Augen treffen sich
Der Raum ist schon halb leer
Ham' uns so oft gesagt: ""Es geht nicht mehr""
Das war am Anfang schwer, doch jetzt viel mehr
Musik ist aus
Und du kommst immer näher

Und immer, wenn es Zeit wär, zu geh'n
Verpass' ich den Moment und bleibe steh'n
Das Herz sagt: ""Bleib!""
Der Kopf schreit: ""Geh!""
Herz über Kopf
Und immer, wenn es Zeit wär, zu geh'n
Verpass' ich den Moment und bleibe steh'n
Das Herz sagt: ""Bleib!""
Der Kopf schreit: ""Geh!""
Herz über Kopf

Herz über Kopf
Herz über Kopf
Lass ich dich immer noch nicht geh'n
Lass ich dich immer noch nicht geh'n
Auch wenn es längst Zeit wär, zu geh'n
Herz über Kopf

Und immer, wenn es Zeit wär, zu geh'n
Verpass' ich den Moment und bleibe steh'n
Das Herz sagt: ""Bleib!""
Der Kopf schreit: ""Geh!""
Herz über Kopf
Und immer, wenn es Zeit wär, zu geh'n
Verpass' ich den Moment und bleibe steh'n
Das Herz sagt: ""Bleib!""
Der Kopf schreit: ""Geh!""
Herz über Kopf"
So wie du bist,MoTrip feat. Lary,"Ah, ich bin so, wie ich bin, Gott sei Dank hast du nie kapituliert
Denn als du mich mit nach Hause gebracht hast, war'n Mama und Papa schockiert
Ich hab' dein'n Hund Gassi geführt und gerne das mit der Krawatte probiert
Und dennoch war'n sie der Meinung, ich wär' nur ein Asi, der gern mal die Fassung verliert
Die anderen fragten dich: ""Passt er zu dir? Kann er sich überhaupt artikulier'n?""
Um mich über Wasser zu halten, hab' ich diese Leute im Taxi kutschiert
Ich hab' vieles versucht – Mappen kopiert, Akten sortiert
Auch wenn es nicht zu meinen Aufgaben zählte, hab' ich meinem Chef sogar Kaffee serviert
Praktikum da, Praktikum hier
Nur leider hab ich mich bis heut nicht immatrikuliert und dann Mathe studiert
Damit ich dir besser gefalle, Schatz, hätte ich alles probiert
Sie sagte zu mir: ""Lass die ander'n sich verändern und bleib so wie du bist.""

[MoTrip & Lary:]
So wie du bist, so wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
Ich mag dich so, wie du bist, ich brauch dich so, wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
So wie du bist, so wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
Ich mag dich so, wie du bist, ich brauch dich so, wie du bist
Lass die ander'n sich verändern und bleib so wie du bist

[MoTrip:]
Du bist so, wie du bist, die Liebe, sie liegt wohl in deiner Natur
Genug von den Normen, fast jeder versucht dich zu formen, schon seit der Geburt
Business und Kohle, Fitness und Mode sind nur ein Teil der Tortur
Bleib, wie du bist, denn für mich ist deine Erscheinung Bereicherung pur
Und bleiben sie stur, lass dir nix sagen, denn deine Figur
Ist mehr als perfekt, und deine Frisur braucht keinerlei Kur, ich meine ja nur
Ich komm aus 'nem anderen Land, passt das zusammen mit deiner Kultur?
Am Anfang war keiner so wirklich begeistert, als sie von uns beiden erfuhr'n
Vergiss mal den Zeiger der Uhr, bleib lieber in deiner eigenen Spur
Du hast begriffen, ich bleibe, drum lässt du mich guten Gewissens alleine auf Tour
Ich leiste den Schwur, Seite an Seite mit dir
Ich meinte zu ihr: ""Lass die ander'n sich verändern und bleib so wie du bist.""

[MoTrip & Lary:]
So wie du bist, so wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
Ich mag dich so, wie du bist, ich brauch dich so, wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
So wie du bist, so wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
Ich mag dich so, wie du bist, ich brauch dich so, wie du bist
Lass die ander'n sich verändern und bleib so wie du bist

[Lary:]
So, wie du gehst, wirbelt jeder Schritt Staub auf, Staub auf
Ich glaub, mit dir kann ich Luftschlösser aufbau'n, aufbau'n
Du kennst meine Fehler und alle Details
Auch wenn ich nichts sage, weißt du Bescheid
Ich will nur, dass du nicht vergisst:
""Lass die ander'n sich verändern und bleib so wie du bist.""

[MoTrip & Lary:]
So wie du bist, so wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
Ich mag dich so, wie du bist, ich brauch dich so, wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
So wie du bist, so wie du bist
Lass die ander'n sich verändern und bleib so wie du bist
Ich mag dich so, wie du bist, ich brauch dich so, wie du bist
Lass die ander'n sich verändern und bleib so wie du bist"
Flash mich,Mark Foster,"Wir sind schon ein, zwei jahre zusammen
Und haben schon drei, vier sachen erlebt
Doch bist du nur 5 minuten mal weg
Ist das wie 10 jahre knast für mich
Ey du wickelst mich so leicht um deinen finger
Wenn du durch deine blauen augen guckst wie immer
Ich bin hypnotisiert, wenn du vorbei spazierst
Dis wird jeden tag ein kleines bisschen schlimmer

Flash mich nochmal, als wär's das erste mal
Baby, baby crash mich so oft du willst, ja bis ich nicht mehr kann
Und seit du da bist sind alle lichter an
Du machst dass ich nicht mehr schlafen kann
Ich sehe uns zwei in alt und grau, mit weißen haaren und dickem bauch
Flash mich nochmal, als wär's das erste mal (yeah)

Wir haben schon ein, zwei kriege geführt
Und haben schon drei, vier zimmer demoliert
Aber, weil 5 minuten ohne dich zu viel sind
Bin ich auch mit 90 immer noch bei dir
Ey, du wickelst mich so leicht um deinen finger
Wenn du durch deine langen haare fährst, wie immer
Ich werd' unkontrolliert, wenn du vorbei spazierst
Und dis wird jeden tag ein kleines bisschen schlimmer

Flash mich nochmal, als wär's das erste mal
Baby, baby crash mich so oft du willst, ja bis ich nicht mehr kann
Und seit du da bist sind alle lichter an
Du machst dass ich nicht mehr schlafen kann
Ich sehe uns zwei in alt und grau, mit weißen haaren und dickem bauch
Flash mich nochmal, als wär's das erste mal (yeah)

Und seit du da bist sind alle lichter an
Du machst dass ich nicht mehr schlafen kann
Ich sehe uns zwei, in alt und grau, mit weißen haaren und dicken bauch
Flash mich nochmal
Flash mich nochmal
Ich sehe uns zwei, in alt und grau, mit weißen haaren und dickem bauch
Flash mich nochmal, als wär's das erste mal"
Auf anderen Wegen,Andreas Bourani,"Hey
Dam dam dam dam dam dam dam dam

Du willst gehen, ich lieber springen
Wenn du redest, will ich singen
Du schlägst Wurzeln, ich muss fliegen
Wir haben die Stille um uns totgeschwiegen
Wo ist die Liebe geblieben?

Ich fühl' mich jung und du dich alt
So fallen wir um, uns fehlt der Halt
Wir müssen uns bewegen
Ich bin dafür, du dagegen
Wir gehen auf anderen Wegen

Mein Herz schlägt schneller als deins
Sie schlagen nicht mehr wie eins
Wir leuchten heller allein
Vielleicht muss es so sein

Mein Herz schlägt schneller als deins
Sie schlagen nicht mehr wie eins
Wir leuchten heller allein
Vielleicht muss es so sein

Dam dam dam dam dam dam

Sind ein festgefahrenes Ritual
Das immer stärker brennt
Und ich frage nicht mehr nach
Was uns verbindet oder trennt
Weil ich weiß, wir fahren weiter im Kreis
Wir müssen atmen, wieder wachsen
Bis die alten Schalen platzen
Und wo wir uns selbst begegnen
Fallen wir mitten ins Leben
Wir gehen auf anderen Wegen

Mein Herz schlägt schneller als deins
Sie schlagen nicht mehr wie eins
Wir leuchten heller allein
Vielleicht muss es so sein

Mein Herz schlägt schneller als deins
Sie schlagen nicht mehr wie eins
Wir leuchten heller allein
Vielleicht muss es so sein

Ich geb' dich frei
Ich werd' dich lieben
Bist ein Teil von mir geblieben

Geb' dich frei
Ich werd' dich lieben
Frei - ich werd' dich lieben

Dam dam dam dam dam dam dam dam dam dam dam dam

Oh, mein Herz schlägt schneller als deins
Sie schlagen nicht mehr wie eins
Wir leuchten heller allein
Vielleicht muss es so sein

Mein Herz schlägt schneller als deins
Sie schlagen nicht mehr wie eins
Wir leuchten heller allein
Vielleicht muss es so sein

Vielleicht muss es so sein
Vielleicht muss es so sein
So sein so sein so sein

Dam dam dam dam dam dam dam dam"
Atemlos durch die Nacht,Helene Fischer,"Wir ziehen durch die Straßen und die Clubs dieser Stadt
Das ist unsre Nacht, wie für uns beide gemacht
Oh-oh, oh-oh
Ich schließe meine Augen, lösche jedes Tabu
Küsse auf der Haut, so wie ein Liebestattoo
Oh-oh, oh-oh

Was das zwischen uns auch ist
Bilder, die man nie vergisst
Und dein Blick hat mir gezeigt:
Das ist unsre Zeit

Atemlos durch die Nacht
Bis ein neuer Tag erwacht
Atemlos, einfach raus
Deine Augen zieh'n mich aus
Atemlos durch die Nacht
Spür, was Liebe mit uns macht
Atemlos, schwindelfrei
Großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm, nimm meine Hand und geh mit mir!

Komm, wir steigen auf das höchste Dach dieser Welt
Halten einfach fest was uns zusammenhält
Oh-oh, oh-oh
Bist du richtig süchtig, Haut an Haut, ganz berauscht
Fall in meine Arme und der Fallschirm geht auf
Oh-oh, oh-oh

Alles, was ich will ist da
Große Freiheit pur, ganz nah
Nein, wir wollen hier nicht weg
Alles ist perfekt

Atemlos durch die Nacht
Spür, was Liebe mit uns macht
Atemlos, schwindelfrei
Großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm, nimm meine Hand und geh mit mir!

Atemlos ...

Lust pulsiert auf meiner Haut

Atemlos durch die Nacht
Spür, was Liebe mit uns macht
Atemlos, schwindelfrei
Großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm, nimm meine Hand und geh mit mir!

Atemlos ..."
Auf uns,Andreas Bourani,"Wer friert uns diesen Moment ein
Besser kann es nicht sein
Denkt an die Tage die hinter uns liegen
Wie lang' wir Freude und Tränen schon teilen
Hier geht jeder für jeden durchs Feuer
Im Regen stehen wir niemals allein
Und solange unsre Herzen uns steuern
Wird das auch immer so sein

Ein Hoch auf das, was vor uns liegt
Dass es das Beste für uns gibt
Ein Hoch auf das was uns vereint
Auf diese Zeit (auf diese Zeit)

Ein Hoch auf uns (uns)
Auf dieses Leben
Auf den Moment
Der immer bleibt
Ein Hoch auf uns (uns)
Auf jetzt und ewig
Auf einen Tag
Unendlichkeit

Wir haben früh, wir schwören uns ewige Treue
Vergolden uns diesen Tag
(One Love)
Ein Leben lang ohne Reue
Vom ersten Schritt bis ins Grab

Ein Hoch auf das was vor uns liegt
Das es das Beste für uns gibt
Ein Hoch auf das was uns vereint
Auf diese Zeit (auf diese Zeit)

Ein Hoch auf uns (uns)
Auf dieses Leben
Auf den Moment
Der immer bleibt
Ein Hoch auf uns (uns)
Auf jetzt und ewig
Auf einen Tag
Unendlichkeit (Unendlichkeit)

Ein Feuerwerk aus Endorphinen
Ein Feuerwerk zieht durch die Nacht
So viele Lichter sind geblieben
Ein Augenblick, der uns unsterblich macht
Unsterblich macht, uh, uh

Ein Hoch auf das was vor uns liegt
Das es das Beste für uns gibt
Ein Hoch auf das was uns vereint
Auf diese Zeit (auf diese Zeit)

Ein Hoch auf uns (uns)
Auf dieses Leben
Auf den Moment
Der immer bleibt
Ein Hoch auf uns (uns)
Auf jetzt und ewig
Auf einen Tag
Unendlichkeit

Ein Hoch auf uns
Ein Feuerwerk aus Endorphinen
Ein Hoch auf uns
Ein Feuerwerk zieht durch die Welt
Ein Hoch auf uns
So viele Lichter sind geblieben
Auf uns"
Au revoir,Mark Foster feat. Sido,"In diesem haus, wo ich wohn
Ist alles so gewohnt
So zum kotzen vertraut
Mann, jeder tag ist so gleich
Ich zieh runden durch mein' teich
Ich will nur noch hier raus
Ich brauch mehr platz und frischen wind
Ich muss schnell woanders hin
Sonst wachs ich hier fest
Ich mach 'nen kopfsprung durch die tür
Ich lass alles hinter mir
Hab was großes im visier
Ich komm nie zurück zu mir

Es gibt nichts, was mich hält, au revoir
Vergesst, wer ich war
Vergesst meinen nam'n
Es wird nie mehr sein, wie es war
Ich bin weg, au au
Au au au revoir
Au revoir
Au revoir
Au revoir

[Sido:]
Auf wiederseh'n? auf kein'
Ich hab meine sachen gepackt, ich hau rein
Sonst wird das für mich immer nur dieser traum bleiben
Ich brauch freiheit, ich geh auf reisen
Ich mach alles das, was ich verpasst hab
Fahr mit 'nem gummiboot bis nach alaska
Ich spring in singapur in das kalte wasser
Ich such das weite und dann tank ich neue kraft da
Ich seh' orte, von den' andere nie hörten
Ich fühl mich wie humboldt oder steve irwin
Ich setz mich im dschungel auf den maya-thron
Auf den spuren von messner, indiana jones
Der phönix macht jetzt 'n abflug
Au revoir, meine freunde, macht's gut
Ich sag dem alten leben tschüss, affe tot, klappe zu
Wie die kinder in indien, ich mach 'n schuh

[Mark Forster:]
Es gibt nichts, was mich hält, au revoir
Vergesst, wer ich war
Vergesst meinen nam'n
Es wird nie mehr sein, wie es war
Ich bin weg, au au
Au au au revoir
Au revoir
Au revoir
Au revoir
Es gibt nichts, was mich hält, au revoir
Vergesst, wer ich war
Vergesst meinen nam'n
Es wird nie mehr sein, wie es war
Ich bin weg, au au
Au au au revoir
Au revoir
Au revoir
Au revoir"
